subject	relation	object	time_step	datetime
CANBERRA	042 Make a visit	SINGAPORE	21600	2018-01-16 00:00
CANADIAN	071 Provide economic aid	TAKINGITGLOBAL	28620	2018-01-20 21:00
MILITARY OFFICER	130 Threaten, not specified below	AUSTRALIAN	5640	2018-01-04 22:00
GOVERNOR	046 Engage in negotiation	HASSAN	24585	2018-01-18 01:45
IRAQ	190 Use conventional military force, not specified below	SYRIA	11175	2018-01-08 18:15
HAWAII	042 Make a visit	MIYAGI	21255	2018-01-15 18:15
VOTER	112 Accuse, not specified below	SENATE	30270	2018-01-22 00:30
MADRAS	120 Reject, not specified below	HIGH COURT	12600	2018-01-09 18:00
MUSLIM	1712 Destroy property	SAUDI ARABIA	32640	2018-01-23 16:00
MANILA	020 Appeal, not specified below	MANUFACTURER	16500	2018-01-12 11:00
PERSIAN GULF	042 Make a visit	IRANIAN	8070	2018-01-06 14:30
GOVERNMENT	120 Reject, not specified below	EMPLOYEE	25995	2018-01-19 01:15
VILLAGE	190 Use conventional military force, not specified below	WEST BANK	26040	2018-01-19 02:00
REUTERS	043 Host a visit	CANADIAN	31935	2018-01-23 04:15
VIETNAM	043 Host a visit	JAKARTA	31080	2018-01-22 14:00
IRANIAN	112 Accuse, not specified below	IRAN	5655	2018-01-04 22:15
MEXICO	040 Consult, not specified below	STUDENT	32955	2018-01-23 21:15
UNITED STATES	017 Engage in symbolic act	PRESIDENT	34320	2018-01-24 20:00
CHANCELLOR	040 Consult, not specified below	COLLEGE	7785	2018-01-06 09:45
PRIME MINISTER	060 Engage in material cooperation, not specified below	CENTRAL BANK	14460	2018-01-11 01:00
TURKEY	0253 Appeal for release of persons or property	TURKISH	5415	2018-01-04 18:15
OBAMA	046 Engage in negotiation	UNITED STATES	25140	2018-01-18 11:00
UNITED STATES	084 Return, release, not specified below	CIVILIAN	1875	2018-01-02 07:15
UNITED STATES	013 Make optimistic comment	PROSECUTOR	14475	2018-01-11 01:15
JOAQUIM CHISSANO	030 Express intent to cooperate, not specified below	ROBERT MUGABE	25020	2018-01-18 09:00
SYRIAN	111 Criticize or denounce 	MILITARY	29025	2018-01-21 03:45
GERMANY	043 Host a visit	FINLAND	16710	2018-01-12 14:30
MEXICO	010 Make statement, not specified below	WALL STREET JOURNAL	17385	2018-01-13 01:45
PRINCE	080 Yield, not specified below 	AFRICA	30960	2018-01-22 12:00
HOSPITAL	042 Make a visit	AUSTRALIA	10275	2018-01-08 03:15
GERMANY	060 Engage in material cooperation, not specified below	GANGSTER	4125	2018-01-03 20:45
GERMAN	080 Yield, not specified below 	GERMANY	25590	2018-01-18 18:30
GOVERNOR	051 Praise or endorse	NASA	29805	2018-01-21 16:45
AMSTERDAM	162 Reduce or stop aid, not specified below	PALESTINIAN	26820	2018-01-19 15:00
AFRICA	030 Express intent to cooperate, not specified below	AUSTRALIA	12150	2018-01-09 10:30
GUJARAT	191 Impose blockade, restrict movement 	PROTESTER	5205	2018-01-04 14:45
ISRAEL	043 Host a visit	UNITED STATES	30180	2018-01-21 23:00
UNITED STATES	111 Criticize or denounce 	STUDENT	32790	2018-01-23 18:30
IRAQ	043 Host a visit	UNITED STATES	14175	2018-01-10 20:15
OVAL OFFICE	090 Investigate, not specified below	KENYA	29460	2018-01-21 11:00
UNITED STATES	070 Provide aid, not specified below	GOVERNOR	25875	2018-01-18 23:15
CATHOLIC	040 Consult, not specified below	EDUCATION MINIST	33960	2018-01-24 14:00
PAKISTANI	162 Reduce or stop aid, not specified below	PAKISTAN	5880	2018-01-05 02:00
LEGISLATURE	011 Decline comment	HIGH COURT	33600	2018-01-24 08:00
CHRISTOPHER TUFTON	046 Engage in negotiation	JAMAICA	24645	2018-01-18 02:45
WASHINGTON	012 Make pessimistic comment	SYRIAN	33120	2018-01-24 00:00
UNITED STATES	051 Praise or endorse	SOFIA	2655	2018-01-02 20:15
THE EUROPEAN UNION	051 Praise or endorse	UNITED KINGDOM	15720	2018-01-11 22:00
UNITED STATES	182 Physically assault, not specified below	LAWYER	23640	2018-01-17 10:00
PRESIDENT	042 Make a visit	DHAKA	19425	2018-01-14 11:45
ELECTION COMMISSION	1821 Sexually assault	HARYANA	28185	2018-01-20 13:45
GOVERNMENT	173 Arrest, detain, or charge with legal action 	FARMER	16560	2018-01-12 12:00
BANGKOK	046 Engage in negotiation	MUMBAI	3870	2018-01-03 16:30
MANUFACTURER	030 Express intent to cooperate, not specified below	UNITED STATES	22740	2018-01-16 19:00
COMMUNITY	090 Investigate, not specified below	UNITED STATES	27420	2018-01-20 01:00
TURKEY	012 Make pessimistic comment	IRAN	15540	2018-01-11 19:00
UNITED KINGDOM	190 Use conventional military force, not specified below	CIVILIAN	960	2018-01-01 16:00
PROTESTER	145 Protest violently, riot	BANK	18825	2018-01-14 01:45
UNITED STATES	010 Make statement, not specified below	BUSINESS	34410	2018-01-24 21:30
PRESIDENT	040 Consult, not specified below	THERESA MAY	22245	2018-01-16 10:45
SPAIN	036 Express intent to meet or negotiate	SPANISH	5340	2018-01-04 17:00
HAITI	046 Engage in negotiation	UNITED STATES	19755	2018-01-14 17:15
CHURCH OF CHRIST	043 Host a visit	SCIENTIST	16215	2018-01-12 06:15
EUROPEAN	071 Provide economic aid	SOVEREIGN	27060	2018-01-19 19:00
SINGAPORE	174 Expel or deport individuals	CANADIAN	21090	2018-01-15 15:30
UNITED STATES	046 Engage in negotiation	COLLEGE	30615	2018-01-22 06:15
UNITED STATES	100 Demand, not specified below	LAWYER	7215	2018-01-06 00:15
BOGOTA	051 Praise or endorse	RELIGION	19905	2018-01-14 19:45
BALI	042 Make a visit	THAILAND	8685	2018-01-07 00:45
NAMIBIA	057 Sign formal agreement	CHINA	31530	2018-01-22 21:30
PAEDOPHILE	0841 Return, release person(s)	QUEENSLAND	23190	2018-01-17 02:30
NEW ZEALAND	173 Arrest, detain, or charge with legal action 	CRIMINAL	27540	2018-01-20 03:00
KANO	173 Arrest, detain, or charge with legal action 	NIGERIA	13050	2018-01-10 01:30
ISRAELI	175 Use tactics of violent repression  	AIR FORCE	26370	2018-01-19 07:30
LIEUTENANT	036 Express intent to meet or negotiate	UNITED STATES	34020	2018-01-24 15:00
UNITED STATES	020 Appeal, not specified below	BANK	23835	2018-01-17 13:15
JEDDAH	020 Appeal, not specified below	UNITED STATES	32850	2018-01-23 19:30
SOUTH SUDAN	020 Appeal, not specified below	UPRISING	21960	2018-01-16 06:00
NORTH AMERICA	043 Host a visit	JEWISH	21240	2018-01-15 18:00
HAITI	042 Make a visit	UNITED STATES	19905	2018-01-14 19:45
HOUSE SPEAKER	051 Praise or endorse	KING	34515	2018-01-24 23:15
ZURICH	057 Sign formal agreement	FINANCE MINIST	31455	2018-01-22 20:15
COLLEGE	030 Express intent to cooperate, not specified below	UNITED STATES	25605	2018-01-18 18:45
RUSSIA	090 Investigate, not specified below	UNITED KINGDOM	13005	2018-01-10 00:45
THE EU	0841 Return, release person(s)	JUDICIARY	14910	2018-01-11 08:30
JORDAN	042 Make a visit	UNITED STATES	12240	2018-01-09 12:00
UNITED STATES	040 Consult, not specified below	MEDIA	4485	2018-01-04 02:45
RUSSIA	036 Express intent to meet or negotiate	EUROPE	13395	2018-01-10 07:15
AFRICA	042 Make a visit	ABUJA	20745	2018-01-15 09:45
SPOKESMAN	138 Threaten to use military force, not specified below	SOUTH SUDAN	12180	2018-01-09 11:00
MINIST FOR AGRICULTURE	010 Make statement, not specified below	INDUSTRY	32040	2018-01-23 06:00
JEWISH	042 Make a visit	UNITED STATES	21240	2018-01-15 18:00
ADMINISTRATION	051 Praise or endorse	NORTH KOREA	24795	2018-01-18 05:15
VATICAN	084 Return, release, not specified below	PERU	26145	2018-01-19 03:45
IRELAND	042 Make a visit	VIENNA	28545	2018-01-20 19:45
COLLEGE	042 Make a visit	WISCONSIN	16830	2018-01-12 16:30
ITALY	043 Host a visit	CRIMINAL	15390	2018-01-11 16:30
PROTESTER	017 Engage in symbolic act	PUNE	2100	2018-01-02 11:00
PRISON	063 Engage in judicial cooperation	ST VINCENT	22380	2018-01-16 13:00
REFUGEE	075 Grant asylum	CLERGY	15015	2018-01-11 10:15
FRESNO	020 Appeal, not specified below	POLITICIAN	9105	2018-01-07 07:45
ISRAEL	040 Consult, not specified below	OSLO	22140	2018-01-16 09:00
RUSSIA	112 Accuse, not specified below	MEXICO	10965	2018-01-08 14:45
AUTHORITIES	193 Fight with small arms and light weapons	PHILIPPINE	15915	2018-01-12 01:15
RUSSIA	043 Host a visit	RUSSIAN	33645	2018-01-24 08:45
SYDNEY	081 Ease administrative sanctions, not specified below	CRIMINAL	12690	2018-01-09 19:30
KING	051 Praise or endorse	CHRISTIANITY	15495	2018-01-11 18:15
PERPETRATOR	090 Investigate, not specified below	PALESTINIAN	13425	2018-01-10 07:45
SIKH	046 Engage in negotiation	PAKISTAN	25710	2018-01-18 20:30
AFRICA	125 Reject proposal to meet, discuss, or negotiate	SCHOOL	30330	2018-01-22 01:30
ROME	043 Host a visit	EUROPEAN	13275	2018-01-10 05:15
WEST BANK	040 Consult, not specified below	ISRAEL	24375	2018-01-17 22:15
THE EU	120 Reject, not specified below	TURKEY	780	2018-01-01 13:00
ATLANTA	173 Arrest, detain, or charge with legal action 	PRISON	23055	2018-01-17 00:15
UNITED KINGDOM	042 Make a visit	HAITI	9795	2018-01-07 19:15
UNITED STATES	172 Impose administrative sanctions, not specified below	EL SALVADOR	4440	2018-01-04 02:00
ETHIOPIA	072 Provide military aid	ERITREA	12105	2018-01-09 09:45
KUWAIT	120 Reject, not specified below	ISRAELI	31125	2018-01-22 14:45
YASHWANT SINHA	020 Appeal, not specified below	CABINET MINISTER	17925	2018-01-13 10:45
WORKER	040 Consult, not specified below	UNITED STATES	22200	2018-01-16 10:00
ENGINEER	046 Engage in negotiation	MALAWI	24345	2018-01-17 21:45
DHAKA	090 Investigate, not specified below	POLICE	32355	2018-01-23 11:15
AUSTRALIAN	042 Make a visit	CONVICTS	12015	2018-01-09 08:15
GREECE	173 Arrest, detain, or charge with legal action 	EUROPEAN	29805	2018-01-21 16:45
MANAGING EDITOR	020 Appeal, not specified below	COMPANY	21660	2018-01-16 01:00
UNITED STATES	190 Use conventional military force, not specified below	INVESTOR	27375	2018-01-20 00:15
JAPANESE	012 Make pessimistic comment	MYANMAR	30840	2018-01-22 10:00
MEDIA	173 Arrest, detain, or charge with legal action 	BUSINESS	22275	2018-01-16 11:15
THE US	193 Fight with small arms and light weapons	IRANIAN	20655	2018-01-15 08:15
JOURNALIST	112 Accuse, not specified below	DENMARK	33465	2018-01-24 05:45
ITALY	036 Express intent to meet or negotiate	UNITED STATES	1305	2018-01-01 21:45
FINANCE MINIST	120 Reject, not specified below	MALTA	4815	2018-01-04 08:15
CHINA	128 Defy norms, law	TAIWAN	13965	2018-01-10 16:45
AUSTRALIA	173 Arrest, detain, or charge with legal action 	UNITED ARAB EMIRATES	11310	2018-01-08 20:30
ANKARA	160 Reduce relations, not specified below	TURKEY	17805	2018-01-13 08:45
SRI LANKA	190 Use conventional military force, not specified below	RESIDENTS	29865	2018-01-21 17:45
POLICE	173 Arrest, detain, or charge with legal action 	AFRICA	12165	2018-01-09 10:45
NASA	010 Make statement, not specified below	UNITED STATES	14340	2018-01-10 23:00
GOVERNMENT TROOPS	190 Use conventional military force, not specified below	REBEL	28320	2018-01-20 16:00
TURKEY	061 Cooperate economically	ISRAEL	25245	2018-01-18 12:45
SYRIA	190 Use conventional military force, not specified below	SYRIAN	16500	2018-01-12 11:00
UNITED KINGDOM	061 Cooperate economically	AUSTRALIA	21600	2018-01-16 00:00
AMNESTY INTERNATIONAL	010 Make statement, not specified below	ISRAELI	24285	2018-01-17 20:45
FREIGHTER	042 Make a visit	TOKYO	23565	2018-01-17 08:45
DONETSK	190 Use conventional military force, not specified below	SERVICEMEN	15615	2018-01-11 20:15
GHANA	112 Accuse, not specified below	FULANI	19230	2018-01-14 08:30
MAYOR	0353 Express intent to release persons or property	UNITED STATES	31860	2018-01-23 03:00
JAPANESE	124 Refuse to yield, not specified below	AUSTRALIA	24210	2018-01-17 19:30
THE OPPOSITION	040 Consult, not specified below	BASHAR AL ASSAD	15210	2018-01-11 13:30
REUTERS	040 Consult, not specified below	THE WHITE HOUSE	15855	2018-01-12 00:15
NEW YORK	046 Engage in negotiation	TOURIST	30405	2018-01-22 02:45
MILITIA	010 Make statement, not specified below	WASHINGTON	20865	2018-01-15 11:45
UNITED STATES	173 Arrest, detain, or charge with legal action 	SUPERIOR COURT	13065	2018-01-10 01:45
COMPANY	084 Return, release, not specified below	EUROPE	14355	2018-01-10 23:15
MILITANT	190 Use conventional military force, not specified below	EGYPTIAN	12450	2018-01-09 15:30
GERMANY	043 Host a visit	FRANCE	11580	2018-01-09 01:00
DISTRICT OF COLUMBIA	120 Reject, not specified below	VOTER	5865	2018-01-05 01:45
SAMI	010 Make statement, not specified below	REUTERS	31155	2018-01-22 15:15
EUROPE	040 Consult, not specified below	EUROPEAN COMMISSION	9900	2018-01-07 21:00
ACTIVIST	173 Arrest, detain, or charge with legal action 	KARACHI	14610	2018-01-11 03:30
COMMUNITY	012 Make pessimistic comment	DEPUTY	5820	2018-01-05 01:00
MEDIA	020 Appeal, not specified below	IRELAND	31770	2018-01-23 01:30
NIGERIAN	061 Cooperate economically	CAMEROON	23760	2018-01-17 12:00
IRAN	020 Appeal, not specified below	PRESIDENT	32490	2018-01-23 13:30
LLOYDS BANKING	043 Host a visit	ENTREPRENEUR	29790	2018-01-21 16:30
CIVILIAN	017 Engage in symbolic act	ARMED FORCES	9345	2018-01-07 11:45
THE WHITE HOUSE	010 Make statement, not specified below	CONGRESS	9825	2018-01-07 19:45
CITIZEN	114 Complain officially 	CIVIL SERVANT	11115	2018-01-08 17:15
UNITED STATES	130 Threaten, not specified below	COMPANIES	31680	2018-01-23 00:00
PRIME MINISTER	061 Cooperate economically	AZERBAIJAN	21990	2018-01-16 06:30
FRANCE	050 Engage in diplomatic cooperation, not specified below	CHINA	13275	2018-01-10 05:15
BELIZE	042 Make a visit	VILLAGE	31245	2018-01-22 16:45
PRESIDENT	020 Appeal, not specified below	UNITED KINGDOM	25530	2018-01-18 17:30
LAS VEGAS	051 Praise or endorse	REFUGEE	32430	2018-01-23 12:30
MOSCOW	172 Impose administrative sanctions, not specified below	CHRISTIAN	23280	2018-01-17 04:00
WORKER	010 Make statement, not specified below	ASYLUM SEEKER	25740	2018-01-18 21:00
CAMBODIAN	1125 Accuse of espionage, treason	CAMBODIA	13575	2018-01-10 10:15
GOVERNMENT	0841 Return, release person(s)	ARMY STAFF	5175	2018-01-04 14:15
CHINA	043 Host a visit	IRELAND	10050	2018-01-07 23:30
ARIZONA	042 Make a visit	MINORITIES	14025	2018-01-10 17:45
UNITED KINGDOM	051 Praise or endorse	SECRETARY OF STATE	11520	2018-01-09 00:00
UNITED STATES	051 Praise or endorse	MAYOR	16155	2018-01-12 05:15
OMAN	020 Appeal, not specified below	PUNE	8895	2018-01-07 04:15
PRIME MINISTER	020 Appeal, not specified below	BANGLADESH	14205	2018-01-10 20:45
NIGERIA	012 Make pessimistic comment	IJAW	1065	2018-01-01 17:45
SAUDI ARABIA	010 Make statement, not specified below	UNITED NATIONS	30645	2018-01-22 06:45
PUNE	084 Return, release, not specified below	MAHARASHTRA	23685	2018-01-17 10:45
MEXICO	190 Use conventional military force, not specified below	POLICE	6120	2018-01-05 06:00
SYDNEY	042 Make a visit	SCHOOL	13185	2018-01-10 03:45
WASHINGTON	051 Praise or endorse	OBAMA	2835	2018-01-02 23:15
CANADIAN	073 Provide humanitarian aid	TALIBAN	3195	2018-01-03 05:15
UNITED STATES	036 Express intent to meet or negotiate	GOOGLE	24285	2018-01-17 20:45
CALCUTTA	173 Arrest, detain, or charge with legal action 	JUDGE	13905	2018-01-10 15:45
FRANCE	042 Make a visit	SCHOOL	30195	2018-01-21 23:15
ASSOCIATED PRESS	070 Provide aid, not specified below	DUBAI	6105	2018-01-05 05:45
ATTORNEY	051 Praise or endorse	STUDENT	27135	2018-01-19 20:15
DAVOS	043 Host a visit	SWEDEN	32160	2018-01-23 08:00
UNITED STATES	010 Make statement, not specified below	OBAMA	22275	2018-01-16 11:15
UNITED STATES	080 Yield, not specified below 	RESIDENTS	5235	2018-01-04 15:15
HAMAS	100 Demand, not specified below	SYRIA	930	2018-01-01 15:30
WORKER	190 Use conventional military force, not specified below	MOZAMBIQUE	24945	2018-01-18 07:45
REUTERS	173 Arrest, detain, or charge with legal action 	MYANMAR	13635	2018-01-10 11:15
AMERICAN	020 Appeal, not specified below	RED CROSS	21420	2018-01-15 21:00
DOCTOR	010 Make statement, not specified below	RUSSIA	21750	2018-01-16 02:30
PAKISTAN	141 Demonstrate or rally	UNITED KINGDOM	20190	2018-01-15 00:30
COMMUNITY	040 Consult, not specified below	BUSINESS	15525	2018-01-11 18:45
TURKEY	050 Engage in diplomatic cooperation, not specified below	BULGARIA	9285	2018-01-07 10:45
COMPANIES	040 Consult, not specified below	PRESIDENT	3045	2018-01-03 02:45
GOVERNANCE	071 Provide economic aid	CALIFORNIA	12480	2018-01-09 16:00
COLLEGE	040 Consult, not specified below	SCHOOL	21720	2018-01-16 02:00
BUSINESS	036 Express intent to meet or negotiate	HANOVER	5640	2018-01-04 22:00
ARMY	010 Make statement, not specified below	CIVILIAN	34410	2018-01-24 21:30
RUSSIAN	071 Provide economic aid	DENMARK	3750	2018-01-03 14:30
UNITED STATES	043 Host a visit	JOURNALIST	17580	2018-01-13 05:00
GOVERNOR	112 Accuse, not specified below	WORKER	22305	2018-01-16 11:45
GREECE	010 Make statement, not specified below	LEBANON	4050	2018-01-03 19:30
IMMIGRANT	040 Consult, not specified below	CHILE	25080	2018-01-18 10:00
UNITED STATES	015 Acknowledge or claim responsibility	MAGISTRATE	26895	2018-01-19 16:15
UNITED STATES	114 Complain officially 	DOCTOR	29595	2018-01-21 13:15
RESIDENTS	110 Disapprove, not specified below	AFRICA	3150	2018-01-03 04:30
UNITED STATES	023 Appeal for aid, not specified below	RUSSIA	7200	2018-01-06 00:00
MYANMAR	190 Use conventional military force, not specified below	KACHIN	7095	2018-01-05 22:15
GOVERNOR	141 Demonstrate or rally	STUDENT	34095	2018-01-24 16:15
UNITED STATES	060 Engage in material cooperation, not specified below	RUSSIA	24555	2018-01-18 01:15
DEPUTIES	010 Make statement, not specified below	MEXICO	14250	2018-01-10 21:30
UNITED STATES	040 Consult, not specified below	RUSSIA	4425	2018-01-04 01:45
DENVER	051 Praise or endorse	UNITED STATES	12345	2018-01-09 13:45
POLICE CHIEF	010 Make statement, not specified below	STUDENT	5790	2018-01-05 00:30
WASHINGTON	043 Host a visit	MEDIA	24435	2018-01-17 23:15
NEIGHBORHOOD	020 Appeal, not specified below	UNITED STATES	32565	2018-01-23 14:45
UNITED STATES	040 Consult, not specified below	JERSEY	18585	2018-01-13 21:45
DEPUTIES	090 Investigate, not specified below	PRISONER	26010	2018-01-19 01:30
ISRAEL	030 Express intent to cooperate, not specified below	JORDAN	25710	2018-01-18 20:30
REFUGEE	010 Make statement, not specified below	UNITED STATES	33375	2018-01-24 04:15
REGIMENT	173 Arrest, detain, or charge with legal action 	REBEL	26490	2018-01-19 09:30
UNITED STATES	020 Appeal, not specified below	REPRESENTATIVES	11460	2018-01-08 23:00
INTERNATIONAL PRESS INSTITUTE	043 Host a visit	SAMOA	32895	2018-01-23 20:15
FRENCH	112 Accuse, not specified below	UNITED STATES	23205	2018-01-17 02:45
GHANA	043 Host a visit	NETHERLANDS	16860	2018-01-12 17:00
ISRAEL	040 Consult, not specified below	ISRAELI	20730	2018-01-15 09:30
UNITED KINGDOM	040 Consult, not specified below	SCOTTISH	20310	2018-01-15 02:30
POLICE OFFICER	193 Fight with small arms and light weapons	PROTESTER	14055	2018-01-10 18:15
JEWISH	010 Make statement, not specified below	CHRISTIAN	25485	2018-01-18 16:45
FRANCE	100 Demand, not specified below	TURKEY	19440	2018-01-14 12:00
REGULATOR	160 Reduce relations, not specified below	WEBSITE	14310	2018-01-10 22:30
MINIST	030 Express intent to cooperate, not specified below	BUSINESS	24750	2018-01-18 04:30
EGYPT	010 Make statement, not specified below	ETHIOPIA	26595	2018-01-19 11:15
INDUSTRY	036 Express intent to meet or negotiate	CHINESE	3510	2018-01-03 10:30
UNITED KINGDOM	173 Arrest, detain, or charge with legal action 	DOCTOR	26115	2018-01-19 03:15
PERU	044 Meet at a ÒhirdÓlocation	BOLIVIA	31710	2018-01-23 00:30
YOSEMITE	042 Make a visit	NEWSPAPER	5085	2018-01-04 12:45
NETFLIX	112 Accuse, not specified below	UNITED STATES	32520	2018-01-23 14:00
SEPARATIST	173 Arrest, detain, or charge with legal action 	CAMEROON	10785	2018-01-08 11:45
AFGHAN	052 Defend verbally	GREEK	26760	2018-01-19 14:00
GOVERNMENT	010 Make statement, not specified below	UNITED STATES	10920	2018-01-08 14:00
PUBLICATION	052 Defend verbally	UNITED STATES	12900	2018-01-09 23:00
HOUSE SPEAKER	013 Make optimistic comment	UNITED STATES	28095	2018-01-20 12:15
FRANCE	051 Praise or endorse	IRAN	4320	2018-01-04 00:00
UNITED STATES	120 Reject, not specified below	GOVERNMENT	7365	2018-01-06 02:45
FYROM	110 Disapprove, not specified below	GREECE	11985	2018-01-09 07:45
POPULATION	114 Complain officially 	PHYSICIAN	8520	2018-01-06 22:00
JAPAN	013 Make optimistic comment	JAPANESE	24255	2018-01-17 20:15
GERMANY	012 Make pessimistic comment	IRAN	4080	2018-01-03 20:00
MOROCCO	040 Consult, not specified below	DENMARK	7350	2018-01-06 02:30
GERMAN	042 Make a visit	COMMANDER	150	2018-01-01 02:30
UNITED STATES	051 Praise or endorse	BUSINESS	18075	2018-01-13 13:15
ISRAELI	036 Express intent to meet or negotiate	GUJARAT	20730	2018-01-15 09:30
TERRORIST GROUP	061 Cooperate economically	IRAQ	29745	2018-01-21 15:45
GOVERNMENT	084 Return, release, not specified below	CONVICTS	25635	2018-01-18 19:15
NICK SMITH	100 Demand, not specified below	AUSTRALIA	21435	2018-01-15 21:15
MILITARY OFFICIAL	190 Use conventional military force, not specified below	SOUTH CAROLINA	13875	2018-01-10 15:15
TEHRAN	173 Arrest, detain, or charge with legal action 	LOCAL MEDIA	2295	2018-01-02 14:15
BREMEN	030 Express intent to cooperate, not specified below	SCHOOL	11610	2018-01-09 01:30
TURKEY	051 Praise or endorse	STUDENT	13800	2018-01-10 14:00
UNITED STATES	010 Make statement, not specified below	PRISON	30600	2018-01-22 06:00
INDUSTRY	071 Provide economic aid	CHINA	13575	2018-01-10 10:15
AFGHANISTAN	190 Use conventional military force, not specified below	THE ASSOCIATED PRESS	30405	2018-01-22 02:45
GOVERNMENT	040 Consult, not specified below	SERBIA	20865	2018-01-15 11:45
INTERNATIONAL CIVIL AVIATION ORGANIZATION	040 Consult, not specified below	UGANDA	3945	2018-01-03 17:45
PUTRAJAYA	120 Reject, not specified below	THE OPPOSITION	29640	2018-01-21 14:00
PRESIDENT	139 Give ultimatum	UNITED STATES	11685	2018-01-09 02:45
UNITED STATES	042 Make a visit	FRANCE	12900	2018-01-09 23:00
LAWYER	010 Make statement, not specified below	GOVERNMENT	33285	2018-01-24 02:45
CHIEF EXECUTIVE	036 Express intent to meet or negotiate	THE US	33405	2018-01-24 04:45
NEWS OUTLET	012 Make pessimistic comment	UNITED STATES	26745	2018-01-19 13:45
SOUTH AFRICAN	0353 Express intent to release persons or property	COMPANY	25530	2018-01-18 17:30
MILITARY	010 Make statement, not specified below	YEMEN	28170	2018-01-20 13:30
UNITED NATIONS	051 Praise or endorse	CIVILIAN	33915	2018-01-24 13:15
NIGERIA	036 Express intent to meet or negotiate	BANK	10260	2018-01-08 03:00
REUTERS	160 Reduce relations, not specified below	PAPUA NEW GUINEA	19200	2018-01-14 08:00
LEGISLATOR	190 Use conventional military force, not specified below	ORGANIZED CRIME	5655	2018-01-04 22:15
FARMER	040 Consult, not specified below	COMMUNITY	24030	2018-01-17 16:30
AUSTIN	120 Reject, not specified below	UNITED STATES	11430	2018-01-08 22:30
INDIANA	192 Occupy territory	UNIVERSITY	27420	2018-01-20 01:00
CITIZEN	033 Express intent to provide matyerial aid, not specified below	UNITED STATES	7080	2018-01-05 22:00
MINIST	070 Provide aid, not specified below	NIGERIA	12960	2018-01-10 00:00
PHILIPPINE	051 Praise or endorse	ROMAN CATHOLIC	34545	2018-01-24 23:45
CYPRUS	031 Express intent to engage in material cooperation,  not specified below	TURKISH	6825	2018-01-05 17:45
HAITI	014 Consider policy option	STUDENT	3960	2018-01-03 18:00
NIGERIA	051 Praise or endorse	ADMINISTRATION	3465	2018-01-03 09:45
LEGISLATOR	051 Praise or endorse	MINIST OF ENERGY	7935	2018-01-06 12:15
DANISH	193 Fight with small arms and light weapons	GUNMAN	33450	2018-01-24 05:30
HOSPITAL	019 Express accord	ILLINOIS	14385	2018-01-10 23:45
UNITED STATES	071 Provide economic aid	GOVERNMENT	25680	2018-01-18 20:00
SWAZILAND	051 Praise or endorse	JAPAN	31980	2018-01-23 05:00
MARINES	042 Make a visit	HAWAII	34470	2018-01-24 22:30
PRISON	173 Arrest, detain, or charge with legal action 	UNITED STATES	24765	2018-01-18 04:45
GUNMEN	081 Ease administrative sanctions, not specified below	CRIMINAL	13815	2018-01-10 14:15
FRENCH	043 Host a visit	UNITED KINGDOM	20145	2018-01-14 23:45
LEGISLATIVE COUNCIL	010 Make statement, not specified below	GOVERNMENT	6000	2018-01-05 04:00
UNITED STATES	120 Reject, not specified below	INTERNATIONAL COURT OF JUSTICE	21390	2018-01-15 20:30
ISLAMIC	012 Make pessimistic comment	SYRIAN	29715	2018-01-21 15:15
TOYOTA	042 Make a visit	KENTUCKY	14265	2018-01-10 21:45
NEIGHBORHOOD	043 Host a visit	ARMY	30285	2018-01-22 00:45
UNITED STATES	023 Appeal for aid, not specified below	IRAN	17700	2018-01-13 07:00
TERRORIST	180 Use unconventional violence, not specified below	NIGERIAN	13110	2018-01-10 02:30
NEW DELHI	012 Make pessimistic comment	POPULATION	22560	2018-01-16 16:00
KATHMANDU	046 Engage in negotiation	GOVERNOR	23895	2018-01-17 14:15
SAUDI ARABIA	100 Demand, not specified below	ISRAELI	22365	2018-01-16 12:45
INDUSTRY MINIST	040 Consult, not specified below	UNITED KINGDOM	20055	2018-01-14 22:15
NORTH KOREAN	046 Engage in negotiation	SEOUL	4305	2018-01-03 23:45
UNITED STATES	043 Host a visit	ASSOCIATED PRESS	25770	2018-01-18 21:30
COURT JUDGE	173 Arrest, detain, or charge with legal action 	UNITED STATES	2610	2018-01-02 19:30
SENATE	040 Consult, not specified below	GOVERNMENT	19650	2018-01-14 15:30
POLICE	112 Accuse, not specified below	COLORADO	31545	2018-01-22 21:45
SUPREME COURT	020 Appeal, not specified below	UNITED STATES	14910	2018-01-11 08:30
SYRIA	046 Engage in negotiation	TURKISH	25950	2018-01-19 00:30
FRANCE	050 Engage in diplomatic cooperation, not specified below	CHINA	12420	2018-01-09 15:00
BANGLADESH	042 Make a visit	MYANMAR	1890	2018-01-02 07:30
RETIRED	060 Engage in material cooperation, not specified below	SPOKESMAN	4710	2018-01-04 06:30
VOTER	014 Consider policy option	MASSACHUSETTS	11550	2018-01-09 00:30
ISRAEL	010 Make statement, not specified below	PALESTINE	28860	2018-01-21 01:00
SWISS	111 Criticize or denounce 	CHINESE	25005	2018-01-18 08:45
PROTESTER	042 Make a visit	SENATOR	25425	2018-01-18 15:45
IRAQ	043 Host a visit	CONGRESS	1545	2018-01-02 01:45
WORKER	042 Make a visit	SEATTLE	32580	2018-01-23 15:00
UNITED STATES	040 Consult, not specified below	COMMUNITY	28800	2018-01-21 00:00
